"Date";"Heure_Debut";"Heure_Fin";"Matiere";"Type_Cours";"Groupe";"LOCATION";"Professeur"
2025-09-15;"09:45";"11:15";NA;NA;NA;"SC102";"STRATULAT   TIBERIU"
2025-09-15;"11:30";"13:00";"DSA -";"CM";"";"SC102";NA
2025-09-15;"14:00";"15:30";"DSA -";"CM";"";"SC102";NA
2025-09-15;"15:45";"17:15";"DSA -";"CM";"";"SC102";NA
2025-09-15;"17:30";"18:30";NA;NA;NA;"Amphi Peytavin";NA
2025-09-16;"08:00";"09:30";"DSA -";"CM";"";"SC102";NA
2025-09-16;"09:45";"11:15";NA;NA;NA;"TD012";NA
2025-09-16;"09:45";"11:15";NA;NA;NA;"TP3";NA
2025-09-16;"11:30";"13:00";NA;NA;NA;"TD012";NA
2025-09-16;"11:30";"13:00";NA;NA;NA;"TP3";NA
2025-09-16;"14:00";"15:30";NA;NA;NA;"TD012";NA
2025-09-16;"14:00";"15:30";NA;NA;NA;"TP4";NA
2025-09-16;"15:45";"17:15";NA;NA;NA;"TD012";NA
2025-09-16;"15:45";"17:15";NA;NA;NA;"TP4";NA
2025-09-17;"09:45";"11:15";NA;NA;NA;"SC101";NA
2025-09-17;"11:30";"13:00";NA;NA;NA;"SC101";NA
2025-09-17;"14:00";"15:30";NA;NA;NA;"SC102";NA
2025-09-17;"15:45";"17:15";NA;NA;NA;"SC102";NA
2025-09-18;"08:00";"09:30";"FP -";"CM";"";"SC101";NA
2025-09-18;"09:45";"11:15";"FP -";"TD";"";"TP3";NA
2025-09-18;"09:45";"11:15";"IWA -";"CTD";"";"Classe Virtuelle (CV) EPUM";NA
2025-09-18;"11:30";"13:00";"FP -";"TD";"";"TP3";NA
2025-09-18;"11:30";"13:00";"IWA -";"CTD";"";"Classe Virtuelle (CV) EPUM";NA
2025-09-19;"08:00";"09:30";NA;NA;NA;"TP4";NA
2025-09-19;"09:45";"11:15";NA;NA;NA;"TP4";NA
2025-09-19;"11:30";"13:00";"IWA -";"CTD";"";"TP6";NA
2025-09-19;"14:00";"15:30";"IWA -";"CTD";"";"TP6";NA
2025-09-22;"08:00";"09:30";"FP -";"CM";"";"SC102";NA
2025-09-22;"09:45";"11:15";"IWA -";"CTD";"";"Classe Virtuelle (CV) EPUM";NA
2025-09-22;"09:45";"11:15";"FP -";"TD";"";"TP3";NA
2025-09-22;"11:30";"13:00";"IWA -";"CTD";"";"Classe Virtuelle (CV) EPUM";NA
2025-09-22;"11:30";"13:00";"FP -";"TD";"";"TP3";NA
2025-09-23;"08:00";"09:30";NA;NA;NA;"TP4";NA
2025-09-23;"08:00";"09:30";NA;NA;NA;"TP3";NA
2025-09-23;"09:45";"11:15";"FP -";"TD";"";"TP3";NA
2025-09-23;"09:45";"11:15";"IWA -";"TD";"";"TP6";NA
2025-09-23;"11:30";"13:00";"IWA -";"TD";"";"TP6";NA
2025-09-23;"11:30";"13:00";"FP -";"TD";"";"TP3";NA
2025-09-23;"14:00";"15:30";"Données et IA";"CM";"";"TP4";NA
2025-09-23;"14:00";"15:30";NA;NA;NA;"TP6";NA
2025-09-23;"15:45";"17:15";"Données et IA";"CM";"";"TP4";NA
2025-09-23;"15:45";"17:15";NA;NA;NA;"TP6";NA
2025-09-24;"08:00";"09:30";"PR&D -";"CM";"";"SC102";NA
2025-09-24;"09:45";"11:15";NA;NA;NA;"TP4";NA
2025-09-24;"11:30";"13:00";NA;NA;NA;"TP4";NA
2025-09-24;"14:00";"15:30";NA;NA;NA;"TP3";NA
2025-09-24;"15:45";"17:15";NA;NA;NA;"TP3";NA
2025-09-25;"08:00";"09:30";"DSA -";"CM";"";"SC101";NA
2025-09-25;"09:45";"11:15";NA;NA;NA;"TP3";NA
2025-09-25;"09:45";"11:15";"IWA -";"CTD";"";"TP6";NA
2025-09-25;"11:30";"13:00";NA;NA;NA;"TP3";NA
2025-09-25;"11:30";"13:00";"IWA -";"CTD";"";"TP6";NA
2025-09-25;"14:00";"17:30";NA;NA;NA;"";NA
2025-09-26;"08:00";"09:30";NA;NA;NA;"TD012";NA
2025-09-26;"08:00";"09:30";NA;NA;NA;"TP4";NA
2025-09-26;"09:45";"11:15";NA;NA;NA;"TD012";NA
2025-09-26;"09:45";"11:15";NA;NA;NA;"TP4";NA
