intitule_cours,type_cours,groupe_eleve,code_cours,date,date_only,heure,jour_semaine,civilité,code_eleve,groupes
Culture éco,CM,,XA1S530C,27/11/2025 08:00,2025-11-27,08:00:00,jeudi,Ingé Informatique 3ème année,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,G2,XA1S534C,13/10/2025 09:45,2025-10-13,09:45:00,lundi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,G2,XA1S534C,13/10/2025 11:30,2025-10-13,11:30:00,lundi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,13/10/2025 14:00,2025-10-13,14:00:00,lundi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,15/10/2025 08:00,2025-10-15,08:00:00,mercredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,G2,XA1S522C,17/10/2025 09:45,2025-10-17,09:45:00,vendredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,G2,XA1S534C,20/10/2025 09:45,2025-10-20,09:45:00,lundi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,G2,XA1S534C,20/10/2025 11:30,2025-10-20,11:30:00,lundi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,20/10/2025 15:45,2025-10-20,15:45:00,lundi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,G2,XA1S522C,22/10/2025 10:30,2025-10-22,10:30:00,mercredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,G2,XA1S522C,24/10/2025 09:45,2025-10-24,09:45:00,vendredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,G2,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Intro prog C,CMTD,G2,XA1S504C,16/09/2025 08:00,2025-09-16,08:00:00,mardi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,G2,XA1S522C,25/09/2025 09:45,2025-09-25,09:45:00,jeudi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,06/10/2025 15:45,2025-10-06,15:45:00,lundi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,07/10/2025 15:45,2025-10-07,15:45:00,mardi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,20/10/2025 15:45,2025-10-20,15:45:00,lundi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,03/11/2025 09:45,2025-11-03,09:45:00,lundi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G2,XA1S514C,03/11/2025 14:00,2025-11-03,14:00:00,lundi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,04/11/2025 09:45,2025-11-04,09:45:00,mardi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G2,XA1S523C,04/11/2025 14:00,2025-11-04,14:00:00,mardi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,TP,G2,XA1S514C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,TP,G2,XA1S511C,12/11/2025 09:45,2025-11-12,09:45:00,mercredi,Ingé Dév Info et Exploi APP 3ème année,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
