intitule_cours,type_cours,code_cours,date,date_only,heure,jour_semaine,civilité,code_civilité,groupe_eleve,code_eleve,groupes
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Culture éco,CM,XA1S530C,27/11/2025 08:00,2025-11-27,08:00:00,jeudi,Ingé Informatique 3ème année,DaMS3,,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,XA1S534C,13/10/2025 09:45,2025-10-13,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,XA1S534C,13/10/2025 11:30,2025-10-13,11:30:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,13/10/2025 14:00,2025-10-13,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,15/10/2025 08:00,2025-10-15,08:00:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,17/10/2025 09:45,2025-10-17,09:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,XA1S534C,20/10/2025 09:45,2025-10-20,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Anglais S5,TD,XA1S534C,20/10/2025 11:30,2025-10-20,11:30:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,20/10/2025 15:45,2025-10-20,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,22/10/2025 10:30,2025-10-22,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/10/2025 09:45,2025-10-24,09:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22306374,"IG3-TP2, IG3-TD2, IG3-TOUS"
Intro prog C,CMTD,XA1S504C,16/09/2025 08:00,2025-09-16,08:00:00,mardi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,25/09/2025 09:45,2025-09-25,09:45:00,jeudi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,06/10/2025 15:45,2025-10-06,15:45:00,lundi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,07/10/2025 15:45,2025-10-07,15:45:00,mardi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,20/10/2025 15:45,2025-10-20,15:45:00,lundi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,03/11/2025 09:45,2025-11-03,09:45:00,lundi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,03/11/2025 14:00,2025-11-03,14:00:00,lundi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,04/11/2025 09:45,2025-11-04,09:45:00,mardi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,04/11/2025 14:00,2025-11-04,14:00:00,mardi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,TP,XA1S514C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,TP,XA1S511C,12/11/2025 09:45,2025-11-12,09:45:00,mercredi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,XA1S524C,24/11/2025 14:00,2025-11-24,14:00:00,lundi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,03/12/2025 10:30,2025-12-03,10:30:00,mercredi,Ingé Dév Info et Exploi APP 3ème année,DaMS3,G2,22305396,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22201730,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,22/10/2025 10:30,2025-10-22,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22303619,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,17/11/2025 08:00,2025-11-17,08:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22303619,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22303619,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,06/10/2025 14:00,2025-10-06,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22514330,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,07/10/2025 14:00,2025-10-07,14:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22514330,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,13/10/2025 15:45,2025-10-13,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22514330,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22514330,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22514330,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,29/09/2025 09:45,2025-09-29,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,17/10/2025 09:45,2025-10-17,09:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,05/11/2025 09:45,2025-11-05,09:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,17/11/2025 08:00,2025-11-17,08:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,03/12/2025 10:30,2025-12-03,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22514362,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,29/09/2025 09:45,2025-09-29,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22302276,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,29/09/2025 15:45,2025-09-29,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22302276,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,02/10/2025 11:30,2025-10-02,11:30:00,jeudi,Ingé Informatique 3ème année,DaMS3,G2,22302276,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,06/10/2025 15:45,2025-10-06,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22302276,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,07/10/2025 15:45,2025-10-07,15:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22302276,"IG3-TP2, IG3-TD2, IG3-TOUS"
Optim science données,CMTD,XA1S524C,24/11/2025 14:00,2025-11-24,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22302276,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22202894,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,14/10/2025 08:00,2025-10-14,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,XA1S524C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,22/10/2025 08:45,2025-10-22,08:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,TP,XA1S514C,05/11/2025 09:45,2025-11-05,09:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,17/11/2025 08:00,2025-11-17,08:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22106340,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,03/11/2025 09:45,2025-11-03,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22307763,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,TP,XA1S514C,05/11/2025 08:00,2025-11-05,08:00:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22515430,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22515430,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22515320,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,TP,XA1S511C,12/11/2025 09:45,2025-11-12,09:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G2,22515320,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22515320,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,01/12/2025 08:00,2025-12-01,08:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22515320,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,03/11/2025 11:30,2025-11-03,11:30:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22314487,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,03/11/2025 15:45,2025-11-03,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22314487,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22314487,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,04/11/2025 15:45,2025-11-04,15:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22314487,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22314487,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22314034,"IG3-TP2, IG3-TD2, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,DaMS3,G1,22507731,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22507731,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22507731,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22500082,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22501880,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22501880,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,01/10/2025 08:45,2025-10-01,08:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,XA1S534C,20/10/2025 09:45,2025-10-20,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,XA1S534C,20/10/2025 11:30,2025-10-20,11:30:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,20/10/2025 14:00,2025-10-20,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,22/10/2025 08:45,2025-10-22,08:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22303345,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,29/09/2025 09:45,2025-09-29,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22514023,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,17/10/2025 09:45,2025-10-17,09:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22514023,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22514023,"IG3-TP2, IG3-TD2, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,25/11/2025 09:45,2025-11-25,09:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G2,22514023,"IG3-TP2, IG3-TD2, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,01/12/2025 08:00,2025-12-01,08:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22514023,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,10/10/2025 14:00,2025-10-10,14:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22203372,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22203372,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/09/2025 08:45,2025-09-24,08:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,XA1S524C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,XA1S524C,07/10/2025 09:45,2025-10-07,09:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,XA1S524C,08/10/2025 08:00,2025-10-08,08:00:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,10/10/2025 14:00,2025-10-10,14:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,14/10/2025 08:00,2025-10-14,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,XA1S524C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
