intitule_cours,type_cours,code_cours,date,date_only,heure,jour_semaine,civilité,code_civilité,groupe_eleve,code_eleve,groupes
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G2,22302569,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,17/11/2025 08:00,2025-11-17,08:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G2,22302569,"IG3-TP2, IG3-TD2, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22301636,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,XA1S504C,15/09/2025 14:00,2025-09-15,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,16/09/2025 14:00,2025-09-16,14:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,06/10/2025 14:00,2025-10-06,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,07/10/2025 14:00,2025-10-07,14:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,13/10/2025 15:45,2025-10-13,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,17/10/2025 08:00,2025-10-17,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,04/11/2025 08:00,2025-11-04,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,04/11/2025 15:45,2025-11-04,15:45:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22514917,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/09/2025 08:45,2025-09-24,08:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22502774,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,XA1S511C,13/10/2025 15:45,2025-10-13,15:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22502774,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,XA1S514C,23/10/2025 11:30,2025-10-23,11:30:00,jeudi,Ingé Informatique 3ème année,DaMS3,G1,22502774,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22502774,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,XA1S524C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22303152,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22303152,"IG3-TP1, IG3-TD1, IG3-TOUS"
Intro prog C,CMTD,XA1S504C,16/09/2025 08:00,2025-09-16,08:00:00,mardi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,XA1S534C,20/10/2025 09:45,2025-10-20,09:45:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Anglais S5,TD,XA1S534C,20/10/2025 11:30,2025-10-20,11:30:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,20/10/2025 14:00,2025-10-20,14:00:00,lundi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,22/10/2025 08:45,2025-10-22,08:45:00,mercredi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,DaMS3,G1,22303923,"IG3-TP1, IG3-TD1, IG3-TOUS"
