code_cours,type_cours,date_only,heure,jour_semaine,code_civilité,groupe_eleve,code_eleve
XA1S506C,PROJ,2025-11-17,08:00:00,lundi,DaMS3,G2,22514362
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22514362
XA1S511C,CMTD,2025-12-03,10:30:00,mercredi,DaMS3,G2,22514362
XA1S522C,CMTD,2025-09-29,09:45:00,lundi,DaMS3,G2,22302276
XA1S523C,CMTD,2025-09-29,15:45:00,lundi,DaMS3,G2,22302276
XA1S522C,CMTD,2025-10-02,11:30:00,jeudi,DaMS3,G2,22302276
XA1S523C,CMTD,2025-10-06,15:45:00,lundi,DaMS3,G2,22302276
XA1S523C,CMTD,2025-10-07,15:45:00,mardi,DaMS3,G2,22302276
XA1S524C,CMTD,2025-11-24,14:00:00,lundi,DaMS3,G2,22302276
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22202894
XA1S511C,CMTD,2025-10-14,08:00:00,mardi,DaMS3,G1,22106340
XA1S524C,CMTD,2025-10-14,09:45:00,mardi,DaMS3,G1,22106340
XA1S522C,CMTD,2025-10-22,08:45:00,mercredi,DaMS3,G1,22106340
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22106340
XA1S511C,CMTD,2025-11-04,08:00:00,mardi,DaMS3,G1,22106340
XA1S522C,CMTD,2025-11-05,08:00:00,mercredi,DaMS3,G1,22106340
XA1S514C,TP,2025-11-05,09:45:00,mercredi,DaMS3,G1,22106340
XA1S506C,PROJ,2025-11-17,08:00:00,lundi,DaMS3,G1,22106340
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22106340
XA1S511C,CMTD,2025-11-03,09:45:00,lundi,DaMS3,G2,22307763
XA1S514C,TP,2025-11-05,08:00:00,mercredi,DaMS3,G2,22515430
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22515430
XA1S522C,CMTD,2025-09-24,10:30:00,mercredi,DaMS3,G2,22515320
XA1S511C,TP,2025-11-12,09:45:00,mercredi,DaMS3,G2,22515320
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22515320
XA1S511C,CMTD,2025-12-01,08:00:00,lundi,DaMS3,G2,22515320
XA1S511C,CMTD,2025-11-03,11:30:00,lundi,DaMS3,G1,22314487
XA1S514C,CMTD,2025-11-03,15:45:00,lundi,DaMS3,G1,22314487
XA1S511C,CMTD,2025-11-04,08:00:00,mardi,DaMS3,G1,22314487
XA1S523C,CMTD,2025-11-04,15:45:00,mardi,DaMS3,G1,22314487
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22314487
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22314034
XA1S514C,CMTD,2025-10-23,11:30:00,jeudi,DaMS3,G1,22507731
XA1S522C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G1,22507731
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22507731
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22500082
XA1S514C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G2,22501880
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22501880
XA1S522C,CMTD,2025-10-01,08:45:00,mercredi,DaMS3,G1,22303345
XA1S534C,TD,2025-10-20,09:45:00,lundi,DaMS3,G1,22303345
XA1S534C,TD,2025-10-20,11:30:00,lundi,DaMS3,G1,22303345
XA1S523C,CMTD,2025-10-20,14:00:00,lundi,DaMS3,G1,22303345
XA1S522C,CMTD,2025-10-22,08:45:00,mercredi,DaMS3,G1,22303345
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22303345
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22303345
XA1S522C,CMTD,2025-09-29,09:45:00,lundi,DaMS3,G2,22514023
XA1S522C,CMTD,2025-10-17,09:45:00,vendredi,DaMS3,G2,22514023
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22514023
XA1S522C,CMTD,2025-11-25,09:45:00,mardi,DaMS3,G2,22514023
XA1S511C,CMTD,2025-12-01,08:00:00,lundi,DaMS3,G2,22514023
XA1S523C,CMTD,2025-10-10,14:00:00,vendredi,DaMS3,G1,22203372
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22203372
XA1S522C,CMTD,2025-09-24,08:45:00,mercredi,DaMS3,G1,22306306
XA1S524C,CMTD,2025-09-24,10:30:00,mercredi,DaMS3,G1,22306306
XA1S524C,CMTD,2025-10-07,09:45:00,mardi,DaMS3,G1,22306306
XA1S524C,CMTD,2025-10-08,08:00:00,mercredi,DaMS3,G1,22306306
XA1S523C,CMTD,2025-10-10,14:00:00,vendredi,DaMS3,G1,22306306
XA1S511C,CMTD,2025-10-14,08:00:00,mardi,DaMS3,G1,22306306
XA1S524C,CMTD,2025-10-14,09:45:00,mardi,DaMS3,G1,22306306
XA1S511C,CMTD,2025-10-15,09:45:00,mercredi,DaMS3,G1,22306306
XA1S522C,CMTD,2025-10-17,08:00:00,vendredi,DaMS3,G1,22306306
XA1S522C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G1,22306306
XA1S523C,CMTD,2025-10-24,14:00:00,vendredi,DaMS3,G1,22306306
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22306306
XA1S511C,CMTD,2025-11-03,11:30:00,lundi,DaMS3,G1,22306306
XA1S514C,CMTD,2025-11-03,15:45:00,lundi,DaMS3,G1,22306306
XA1S511C,CMTD,2025-11-04,08:00:00,mardi,DaMS3,G1,22306306
XA1S523C,CMTD,2025-11-04,15:45:00,mardi,DaMS3,G1,22306306
XA1S522C,CMTD,2025-11-05,08:00:00,mercredi,DaMS3,G1,22306306
XA1S514C,TP,2025-11-05,09:45:00,mercredi,DaMS3,G1,22306306
XA1S534C,TD,2025-11-10,09:45:00,lundi,DaMS3,G1,22306306
XA1S534C,TD,2025-11-10,11:30:00,lundi,DaMS3,G1,22306306
XA1S534C,TD,2025-11-24,09:45:00,lundi,DaMS3,G1,22306306
XA1S534C,TD,2025-11-24,11:30:00,lundi,DaMS3,G1,22306306
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22306306
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22509348
XA1S524C,CMTD,2025-09-15,09:45:00,lundi,DaMS3,G1,22307599
XA1S504C,CMTD,2025-09-15,14:00:00,lundi,DaMS3,G1,22307599
XA1S504C,CMTD,2025-09-16,08:00:00,mardi,DaMS3,G1,22307599
XA1S504C,CMTD,2025-09-16,09:45:00,mardi,DaMS3,G1,22307599
XA1S504C,CMTD,2025-09-16,11:30:00,mardi,DaMS3,G1,22307599
XA1S523C,CMTD,2025-09-16,14:00:00,mardi,DaMS3,G1,22307599
XA1S524C,CMTD,2025-09-24,10:30:00,mercredi,DaMS3,G1,22307599
XA1S523C,CMTD,2025-10-10,14:00:00,vendredi,DaMS3,G1,22307599
XA1S522C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G1,22307599
XA1S523C,CMTD,2025-10-24,14:00:00,vendredi,DaMS3,G1,22307599
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22307599
XA1S534C,TD,2025-11-24,09:45:00,lundi,DaMS3,G1,22307599
XA1S534C,TD,2025-11-24,11:30:00,lundi,DaMS3,G1,22307599
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22307599
XA1S511C,CMTD,2025-12-03,08:45:00,mercredi,DaMS3,G1,22307599
XA1S522C,CMTD,2025-10-22,08:45:00,mercredi,DaMS3,G1,22320171
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22320171
XA1S500C,CM,2025-09-08,08:00:00,lundi,DaMS3,,22515448
XA1S524C,CMTD,2025-09-15,09:45:00,lundi,DaMS3,G1,22515448
XA1S522C,CMTD,2025-09-24,08:45:00,mercredi,DaMS3,G1,22515448
XA1S523C,CMTD,2025-09-29,14:00:00,lundi,DaMS3,G1,22515448
XA1S522C,CMTD,2025-10-01,08:45:00,mercredi,DaMS3,G1,22515448
XA1S524C,CMTD,2025-10-07,09:45:00,mardi,DaMS3,G1,22515448
XA1S524C,CMTD,2025-10-07,11:30:00,mardi,DaMS3,G1,22515448
XA1S524C,CMTD,2025-10-08,08:00:00,mercredi,DaMS3,G1,22515448
XA1S511C,CMTD,2025-10-08,09:45:00,mercredi,DaMS3,G1,22515448
XA1S534C,TD,2025-10-13,09:45:00,lundi,DaMS3,G1,22515448
XA1S534C,TD,2025-10-13,11:30:00,lundi,DaMS3,G1,22515448
XA1S524C,CMTD,2025-10-14,15:45:00,mardi,DaMS3,G1,22515448
XA1S511C,CMTD,2025-10-15,09:45:00,mercredi,DaMS3,G1,22515448
XA1S522C,CMTD,2025-10-17,08:00:00,vendredi,DaMS3,G1,22515448
XA1S534C,TD,2025-10-20,09:45:00,lundi,DaMS3,G1,22515448
XA1S534C,TD,2025-10-20,11:30:00,lundi,DaMS3,G1,22515448
XA1S523C,CMTD,2025-10-20,14:00:00,lundi,DaMS3,G1,22515448
XA1S522C,CMTD,2025-10-22,08:45:00,mercredi,DaMS3,G1,22515448
XA1S514C,CMTD,2025-10-23,11:30:00,jeudi,DaMS3,G1,22515448
XA1S522C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G1,22515448
XA1S523C,CMTD,2025-10-24,14:00:00,vendredi,DaMS3,G1,22515448
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22515448
XA1S511C,CMTD,2025-11-03,11:30:00,lundi,DaMS3,G1,22515448
XA1S511C,CMTD,2025-11-04,08:00:00,mardi,DaMS3,G1,22515448
XA1S522C,CMTD,2025-11-05,08:00:00,mercredi,DaMS3,G1,22515448
XA1S514C,TP,2025-11-05,09:45:00,mercredi,DaMS3,G1,22515448
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22515448
XA1S511C,CMTD,2025-12-03,08:45:00,mercredi,DaMS3,G1,22515448
XA1S511C,CMTD,2025-11-03,09:45:00,lundi,DaMS3,G2,22510645
XA1S514C,CMTD,2025-11-03,14:00:00,lundi,DaMS3,G2,22510645
XA1S511C,CMTD,2025-11-04,09:45:00,mardi,DaMS3,G2,22510645
XA1S523C,CMTD,2025-11-04,14:00:00,mardi,DaMS3,G2,22510645
XA1S524C,CMTD,2025-09-15,11:30:00,lundi,DaMS3,G2,22509976
XA1S514C,TP,2025-11-05,08:00:00,mercredi,DaMS3,G2,22509976
XA1S522C,CMTD,2025-11-05,09:45:00,mercredi,DaMS3,G2,22509976
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22509976
XA1S511C,CMTD,2025-10-13,15:45:00,lundi,DaMS3,G1,22310352
XA1S524C,CMTD,2025-10-14,09:45:00,mardi,DaMS3,G1,22310352
XA1S522C,CMTD,2025-10-14,14:00:00,mardi,DaMS3,G1,22310352
XA1S524C,CMTD,2025-10-14,15:45:00,mardi,DaMS3,G1,22310352
XA1S511C,CMTD,2025-10-15,09:45:00,mercredi,DaMS3,G1,22310352
XA1S522C,CMTD,2025-10-17,08:00:00,vendredi,DaMS3,G1,22310352
XA1S523C,CMTD,2025-10-20,14:00:00,lundi,DaMS3,G1,22310352
XA1S514C,CMTD,2025-10-23,11:30:00,jeudi,DaMS3,G1,22310352
XA1S522C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G1,22310352
XA1S523C,CMTD,2025-10-24,14:00:00,vendredi,DaMS3,G1,22310352
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22310352
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22310352
XA1S523C,CMTD,2025-10-24,14:00:00,vendredi,DaMS3,G1,22505652
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22505652
XA1S524C,CMTD,2025-09-15,09:45:00,lundi,DaMS3,G1,22414949
XA1S504C,CMTD,2025-09-15,14:00:00,lundi,DaMS3,G1,22414949
XA1S504C,CMTD,2025-09-16,08:00:00,mardi,DaMS3,G1,22414949
XA1S504C,CMTD,2025-09-16,09:45:00,mardi,DaMS3,G1,22414949
XA1S504C,CMTD,2025-09-16,11:30:00,mardi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-09-16,14:00:00,mardi,DaMS3,G1,22414949
XA1S524C,CMTD,2025-09-19,09:45:00,vendredi,DaMS3,G1,22414949
XA1S524C,CMTD,2025-09-24,10:30:00,mercredi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-09-29,14:00:00,lundi,DaMS3,G1,22414949
XA1S524C,CMTD,2025-09-30,09:45:00,mardi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-10-06,14:00:00,lundi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-10-07,14:00:00,mardi,DaMS3,G1,22414949
XA1S524C,CMTD,2025-10-08,08:00:00,mercredi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-10-10,14:00:00,vendredi,DaMS3,G1,22414949
XA1S524C,CMTD,2025-10-14,09:45:00,mardi,DaMS3,G1,22414949
XA1S524C,CMTD,2025-10-14,15:45:00,mardi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-10-20,14:00:00,lundi,DaMS3,G1,22414949
XA1S514C,CMTD,2025-10-23,11:30:00,jeudi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-10-24,14:00:00,vendredi,DaMS3,G1,22414949
XA1S514C,CMTD,2025-10-24,15:45:00,vendredi,DaMS3,G1,22414949
XA1S511C,CMTD,2025-11-03,11:30:00,lundi,DaMS3,G1,22414949
XA1S514C,CMTD,2025-11-03,15:45:00,lundi,DaMS3,G1,22414949
XA1S511C,CMTD,2025-11-04,08:00:00,mardi,DaMS3,G1,22414949
XA1S523C,CMTD,2025-11-04,15:45:00,mardi,DaMS3,G1,22414949
XA1S514C,TP,2025-11-05,09:45:00,mercredi,DaMS3,G1,22414949
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22414949
XA1S511C,CMTD,2025-12-03,08:45:00,mercredi,DaMS3,G1,22414949
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G1,22301102
XA1S534C,TD,2025-10-06,09:45:00,lundi,DaMS3,G2,22202358
XA1S534C,TD,2025-10-06,11:30:00,lundi,DaMS3,G2,22202358
XA1S523C,CMTD,2025-10-06,15:45:00,lundi,DaMS3,G2,22202358
XA1S524C,CMTD,2025-10-07,08:00:00,mardi,DaMS3,G2,22202358
XA1S511C,CMTD,2025-10-07,09:45:00,mardi,DaMS3,G2,22202358
XA1S523C,CMTD,2025-10-07,15:45:00,mardi,DaMS3,G2,22202358
XA1S511C,CMTD,2025-10-08,08:00:00,mercredi,DaMS3,G2,22202358
XA1S524C,CMTD,2025-10-08,09:45:00,mercredi,DaMS3,G2,22202358
XA1S524C,CMTD,2025-10-08,11:30:00,mercredi,DaMS3,G2,22202358
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22513742
XA1S522C,CMTD,2025-10-17,09:45:00,vendredi,DaMS3,G2,22515987
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22515987
XA1S514C,CMTD,2025-10-24,08:00:00,vendredi,DaMS3,G2,22301328
XA1S506C,PROJ,2025-11-25,08:00:00,mardi,DaMS3,G2,22301328
XA1S500C,CM,2025-09-08,08:00:00,lundi,DaMS3,,22514776
XA1S524C,CMTD,2025-09-15,09:45:00,lundi,DaMS3,G1,22514776
XA1S523C,CMTD,2025-09-16,14:00:00,mardi,DaMS3,G1,22514776
XA1S524C,CMTD,2025-09-19,09:45:00,vendredi,DaMS3,G1,22514776
XA1S522C,CMTD,2025-09-24,08:45:00,mercredi,DaMS3,G1,22514776
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22410098
XA1S726C,CMTD,2025-11-27,11:30:00,jeudi,DaMS4,G1,22410098
XA1S705C,TP,2025-12-03,09:45:00,mercredi,DaMS4,G1,22410098
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22203011
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22413107
XA1S726C,CMTD,2025-11-27,11:30:00,jeudi,DaMS4,G1,22208599
