"Date";"Heure_Debut_Journee";"Heure_Fin_Journee";"Total_Heures_Cours";"nombre_absents";"Amplitude"
2025-08-27;"14:00";"16:00";2;0;2
2025-09-02;"14:30";"17:30";3;0;3
2025-09-03;"08:45";"18:00";7,5;0;9,25
2025-09-04;"08:00";"13:00";4,5;0;5
2025-09-05;"08:00";"15:30";6;0;7,5
2025-09-08;"08:00";"20:00";9;0;12
2025-09-09;"08:00";"20:00";7,5;2;12
2025-09-10;"08:00";"17:15";7,5;0;9,25
2025-09-11;"08:00";"13:00";4,5;0;5
2025-09-12;"08:00";"17:15";7,5;0;9,25
2025-09-15;"08:00";"20:00";10,5;0;12
2025-09-16;"08:00";"20:00";7,5;0;12
2025-09-17;"09:45";"16:00";3;17;6,25
2025-09-18;"15:30";"18:45";3;0;3,25
2025-09-19;"08:00";"17:15";7,5;0;9,25
2025-09-22;"08:00";"20:00";9;0;12
2025-09-23;"08:00";"20:00";9;5;12
2025-09-24;"08:00";"17:15";7,5;0;9,25
2025-09-25;"08:00";"17:15";6,25;0;9,25
2025-09-26;"08:00";"17:15";7,5;0;9,25
2025-09-29;"08:00";"20:00";9;0;12
2025-09-30;"08:00";"20:00";9;7;12
2025-10-01;"08:00";"16:45";7;0;8,75
2025-10-02;"09:45";"13:00";3;0;3,25
2025-10-03;"08:00";"17:15";7,5;0;9,25
2025-10-06;"08:00";"20:00";7,5;0;12
2025-10-07;"08:00";"20:00";9;3;12
2025-10-08;"08:00";"18:15";8,5;0;10,25
2025-10-09;"08:00";"13:00";4,5;0;5
2025-10-10;"08:00";"17:15";7,5;0;9,25
2025-10-13;"08:00";"20:00";9;0;12
2025-10-14;"08:00";"20:00";9;1;12
2025-10-15;"08:00";"18:15";9;0;10,25
2025-10-16;"08:00";"20:00";10;0;12
2025-10-17;"08:00";"17:15";7,5;0;9,25
2025-10-20;"08:00";"20:00";7,5;0;12
2025-10-21;"08:00";"16:00";6,5;0;8
2025-10-22;"08:00";"17:15";7,5;0;9,25
2025-10-23;"08:00";"13:00";4,5;0;5
2025-10-24;"09:45";"17:15";6;0;7,5
2025-11-03;"08:00";"20:00";9;0;12
2025-11-04;"08:00";"20:00";10,25;5;12
2025-11-05;"08:00";"17:15";7,5;0;9,25
2025-11-06;"08:00";"13:00";4,5;0;5
2025-11-07;"08:00";"17:15";7,5;0;9,25
2025-11-10;"08:00";"19:15";9,5;0;11,25
2025-11-12;"08:00";"13:00";4,5;0;5
2025-11-13;"08:00";"16:30";5,75;0;8,5
2025-11-14;"08:00";"17:15";7,5;0;9,25
2025-11-17;"08:00";"20:00";9;0;12
2025-11-18;"08:00";"20:00";11;5;12
2025-11-19;"08:00";"17:15";7,5;0;9,25
2025-11-20;"08:00";"11:15";3;0;3,25
2025-11-21;"08:00";"17:15";7,5;0;9,25
2025-11-24;"08:30";"20:00";10;0;11,5
2025-11-25;"08:00";"20:00";9;8;12
2025-11-26;"08:00";"17:15";7,5;0;9,25
2025-11-27;"08:00";"17:15";7,5;3;9,25
2025-11-28;"08:00";"17:15";7,5;0;9,25
2025-12-01;"08:00";"20:00";9;0;12
2025-12-02;"08:00";"17:15";7,5;0;9,25
2025-12-03;"08:00";"20:00";9;10;12
2025-12-04;"08:00";"20:15";14,25;0;12,25
2025-12-05;"08:00";"20:00";9,5;0;12
2025-12-08;"08:00";"20:00";9;0;12
2025-12-09;"08:00";"19:00";9;0;11
2025-12-10;"08:00";"18:30";8,5;0;10,5
2025-12-11;"08:00";"17:00";6;0;9
2025-12-12;"08:00";"18:45";9;0;10,75
2025-12-15;"08:00";"20:00";9;0;12
2025-12-16;"08:00";"19:00";9;0;11
2025-12-17;"08:00";"17:45";7,5;0;9,75
2025-12-18;"08:00";"13:00";4,5;0;5
2025-12-19;"08:00";"17:15";7,5;0;9,25
2026-01-05;"08:00";"20:00";9;0;12
2026-01-06;"08:00";"19:00";9;0;11
2026-01-07;"08:00";"19:00";9;0;11
2026-01-08;"08:00";"17:30";7,5;0;9,5
2026-01-09;"08:00";"19:00";9;0;11
2026-01-12;"08:00";"20:00";10,5;0;12
2026-01-13;"08:00";"19:00";9;0;11
2026-01-14;"08:00";"19:00";9;-Inf;11
2026-01-15;"08:00";"17:30";8;-Inf;9,5
2026-01-16;"08:00";"18:00";8,5;-Inf;10
2026-01-19;"08:00";"20:00";9;-Inf;12
2026-01-20;"09:30";"18:15";7,5;-Inf;8,75
2026-01-21;"09:00";"16:30";6;-Inf;7,5
2026-01-22;"09:00";"17:30";6,5;-Inf;8,5
2026-01-26;"08:00";"20:00";6,5;-Inf;12
2026-01-27;"09:45";"17:15";6;-Inf;7,5
2026-01-28;"08:00";"20:00";12;-Inf;12
2026-01-29;"08:00";"20:00";12;-Inf;12
2026-01-30;"08:00";"20:00";12;-Inf;12
2026-01-31;"08:00";"20:00";12;-Inf;12
2026-02-02;"08:00";"17:15";7,5;-Inf;9,25
2026-02-03;"08:00";"17:15";7,5;-Inf;9,25
2026-02-04;"08:00";"19:00";7,5;-Inf;11
2026-02-05;"08:00";"09:30";1,5;-Inf;1,5
2026-02-06;"08:00";"17:15";7,5;-Inf;9,25
2026-02-09;"08:00";"19:00";9;-Inf;11
2026-02-10;"08:00";"13:00";4,5;-Inf;5
2026-02-11;"08:00";"19:00";7,5;-Inf;11
2026-02-12;"08:00";"13:00";4,5;-Inf;5
2026-02-13;"08:00";"17:15";7,5;-Inf;9,25
2026-02-16;"08:00";"17:15";7,5;-Inf;9,25
2026-02-17;"08:00";"17:15";7,5;-Inf;9,25
2026-02-18;"08:00";"17:15";7,5;-Inf;9,25
2026-02-20;"09:45";"17:15";6;-Inf;7,5
2026-02-23;"09:45";"17:15";6;-Inf;7,5
2026-02-24;"08:00";"17:15";7,5;-Inf;9,25
2026-02-25;"08:00";"17:15";6;-Inf;9,25
2026-02-26;"09:45";"13:00";3;-Inf;3,25
2026-02-27;"14:00";"17:15";3;-Inf;3,25
2026-03-09;"09:15";"18:00";7,5;-Inf;8,75
2026-03-10;"08:00";"17:15";7,5;-Inf;9,25
2026-03-11;"08:00";"13:00";4,5;-Inf;5
2026-03-12;"08:00";"13:00";4,5;-Inf;5
2026-03-13;"08:00";"17:15";7,5;-Inf;9,25
2026-03-16;"08:00";"17:15";7,5;-Inf;9,25
2026-03-17;"08:00";"17:15";7,5;-Inf;9,25
2026-03-18;"08:00";"17:15";7,5;-Inf;9,25
2026-03-19;"09:45";"13:00";3;-Inf;3,25
2026-03-20;"09:45";"17:15";6;-Inf;7,5
2026-03-23;"09:45";"16:00";5;-Inf;6,25
