"Date";"Heure_Debut_Journee";"Heure_Fin_Journee";"Total_Heures_Cours";"nombre_absents";"Amplitude"
2026-03-24;"08:00";"17:15";7,5;-Inf;9,25
2026-03-25;"08:00";"15:30";6;-Inf;7,5
2026-03-26;"08:00";"17:00";7,5;-Inf;9
2026-03-27;"09:45";"13:00";3;-Inf;3,25
2026-03-30;"08:00";"17:15";7,5;-Inf;9,25
2026-03-31;"08:00";"17:15";7,5;-Inf;9,25
2026-04-01;"08:00";"17:15";7,5;-Inf;9,25
2026-04-02;"09:45";"13:00";3;-Inf;3,25
2026-04-03;"09:45";"15:30";4,5;-Inf;5,75
2026-04-07;"09:45";"17:15";6;-Inf;7,5
2026-04-08;"09:45";"17:15";6;-Inf;7,5
